iter	Passed	Remaining
0	158	78936
1	162	40488
2	167	27737
3	171	21252
4	175	17346
5	179	14743
6	183	12945
7	187	11556
8	191	10461
9	195	9586
10	200	8899
11	204	8334
12	208	7823
13	212	7385
14	217	7031
15	221	6700
16	225	6404
17	229	6138
18	234	5927
19	238	5717
20	242	5523
21	245	5342
22	251	5209
23	254	5057
24	258	4916
25	262	4789
26	268	4698
27	272	4587
28	276	4483
29	280	4395
30	284	4310
31	287	4203
32	291	4121
33	295	4043
34	300	3991
35	304	3930
36	309	3867
37	313	3812
38	317	3756
39	322	3704
40	326	3649
41	330	3606
42	334	3557
43	338	3509
44	342	3462
45	347	3425
46	351	3384
47	355	3346
48	359	3308
49	365	3293
50	370	3261
51	374	3228
52	379	3202
53	383	3171
54	388	3141
55	393	3120
56	398	3097
57	403	3075
58	408	3053
59	413	3034
60	418	3008
61	421	2980
62	426	2960
63	431	2937
64	435	2911
65	438	2886
66	442	2862
67	447	2840
68	451	2817
69	454	2794
70	459	2776
71	464	2759
72	468	2739
73	471	2715
74	476	2700
75	480	2682
76	484	2663
77	488	2644
78	493	2631
79	498	2616
80	502	2600
81	507	2587
82	512	2574
83	516	2558
84	520	2543
85	528	2542
86	532	2529
87	537	2515
88	542	2505
89	547	2491
90	551	2478
91	556	2467
92	560	2451
93	564	2437
94	568	2424
95	573	2414
96	578	2402
97	582	2390
98	587	2378
99	592	2370
100	597	2360
101	601	2348
102	606	2338
103	610	2326
104	614	2313
105	618	2300
106	623	2290
107	628	2280
108	632	2267
109	636	2255
110	641	2246
111	645	2234
112	648	2222
113	652	2210
114	675	2260
115	679	2249
116	683	2238
117	688	2229
118	692	2217
119	696	2206
120	700	2193
121	705	2186
122	710	2178
123	716	2172
124	722	2166
125	727	2158
126	732	2151
127	738	2147
128	744	2141
129	751	2139
130	756	2131
131	761	2124
132	766	2115
133	772	2110
134	777	2101
135	781	2091
136	788	2088
137	791	2077
138	796	2069
139	803	2065
140	808	2058
141	814	2053
142	820	2048
143	825	2040
144	830	2032
145	836	2028
146	842	2022
147	847	2015
148	852	2008
149	857	2000
150	861	1990
151	866	1984
152	871	1976
153	876	1969
154	881	1962
155	887	1957
156	892	1949
157	896	1941
158	902	1935
159	906	1927
160	911	1920
161	917	1913
162	921	1906
163	926	1898
164	931	1890
165	936	1884
166	941	1877
167	945	1868
168	950	1861
169	954	1852
170	958	1843
171	962	1834
172	967	1827
173	971	1819
174	976	1813
175	981	1807
176	985	1798
177	989	1790
178	993	1781
179	998	1775
180	1002	1767
181	1006	1758
182	1010	1750
183	1015	1743
184	1019	1736
185	1023	1728
186	1027	1720
187	1032	1713
188	1036	1705
189	1040	1697
190	1044	1689
191	1049	1683
192	1053	1676
193	1057	1668
194	1061	1660
195	1065	1653
196	1069	1644
197	1073	1636
198	1076	1628
199	1081	1622
200	1085	1614
201	1089	1607
202	1093	1600
203	1098	1594
204	1102	1587
205	1106	1579
206	1111	1572
207	1115	1566
208	1119	1558
209	1123	1551
210	1128	1545
211	1132	1538
212	1136	1531
213	1140	1523
214	1144	1517
215	1149	1511
216	1153	1504
217	1157	1497
218	1162	1491
219	1166	1484
220	1170	1477
221	1174	1470
222	1179	1465
223	1183	1458
224	1187	1451
225	1191	1444
226	1197	1439
227	1201	1433
228	1205	1426
229	1210	1420
230	1214	1413
231	1218	1407
232	1221	1400
233	1226	1394
234	1230	1387
235	1234	1380
236	1238	1374
237	1243	1368
238	1247	1362
239	1251	1355
240	1255	1349
241	1260	1343
242	1264	1337
243	1268	1331
244	1272	1324
245	1278	1319
246	1281	1313
247	1285	1306
248	1289	1299
249	1294	1294
250	1298	1288
251	1302	1281
252	1306	1275
253	1311	1269
254	1315	1263
255	1319	1257
256	1323	1251
257	1328	1246
258	1332	1240
259	1336	1233
260	1342	1228
261	1346	1222
262	1350	1216
263	1354	1210
264	1359	1205
265	1363	1199
266	1367	1193
267	1371	1187
268	1376	1182
269	1380	1175
270	1384	1169
271	1388	1163
272	1392	1158
273	1396	1151
274	1400	1145
275	1404	1139
276	1409	1134
277	1413	1128
278	1417	1122
279	1421	1117
280	1426	1111
281	1430	1105
282	1434	1099
283	1439	1094
284	1442	1088
285	1446	1082
286	1450	1076
287	1455	1071
288	1460	1065
289	1464	1060
290	1468	1054
291	1472	1049
292	1477	1043
293	1480	1037
294	1485	1031
295	1490	1027
296	1494	1021
297	1498	1015
298	1502	1009
299	1507	1004
300	1511	999
301	1515	993
302	1519	987
303	1523	982
304	1527	976
305	1531	970
306	1535	965
307	1539	959
308	1543	954
309	1547	948
310	1551	943
311	1556	937
312	1559	931
313	1563	926
314	1567	920
315	1572	915
316	1576	910
317	1580	904
318	1584	899
319	1589	894
320	1593	888
321	1598	883
322	1603	878
323	1608	873
324	1612	868
325	1617	863
326	1622	858
327	1626	853
328	1631	847
329	1636	842
330	1640	837
331	1644	832
332	1648	826
333	1654	822
334	1658	817
335	1662	811
336	1667	806
337	1671	801
338	1675	795
339	1679	790
340	1684	785
341	1689	780
342	1693	775
343	1697	769
344	1702	764
345	1706	759
346	1710	754
347	1714	748
348	1719	743
349	1723	738
350	1727	733
351	1731	728
352	1737	723
353	1741	718
354	1745	712
355	1750	707
356	1754	702
357	1758	697
358	1762	692
359	1767	687
360	1771	682
361	1775	676
362	1779	671
363	1784	666
364	1789	661
365	1793	656
366	1798	651
367	1802	646
368	1806	641
369	1810	636
370	1816	631
371	1819	626
372	1823	620
373	1827	615
374	1833	611
375	1837	605
376	1841	600
377	1847	596
378	1851	591
379	1855	585
380	1858	580
381	1864	575
382	1868	570
383	1872	565
384	1875	560
385	1881	555
386	1885	550
387	1889	545
388	1893	540
389	1898	535
390	1902	530
391	1906	525
392	1910	520
393	1914	515
394	1918	510
395	1922	504
396	1926	499
397	1931	495
398	1935	489
399	1939	484
400	1944	479
401	1948	474
402	1952	469
403	1956	464
404	1960	459
405	1965	454
406	1968	449
407	1973	444
408	1978	440
409	1982	435
410	1986	430
411	1990	425
412	1995	420
413	1999	415
414	2003	410
415	2008	405
416	2013	400
417	2017	395
418	2021	390
419	2025	385
420	2029	380
421	2034	375
422	2038	371
423	2042	366
424	2046	361
425	2051	356
426	2055	351
427	2059	346
428	2064	341
429	2068	336
430	2072	331
431	2076	326
432	2081	322
433	2085	317
434	2089	312
435	2093	307
436	2098	302
437	2102	297
438	2106	292
439	2111	287
440	2115	282
441	2119	278
442	2122	273
443	2127	268
444	2131	263
445	2135	258
446	2140	253
447	2144	248
448	2148	244
449	2152	239
450	2158	234
451	2162	229
452	2166	224
453	2169	219
454	2174	215
455	2178	210
456	2182	205
457	2187	200
458	2192	195
459	2196	190
460	2200	186
461	2204	181
462	2209	176
463	2213	171
464	2217	166
465	2221	162
466	2225	157
467	2229	152
468	2233	147
469	2238	142
470	2242	138
471	2246	133
472	2250	128
473	2254	123
474	2259	118
475	2262	114
476	2266	109
477	2271	104
478	2275	99
479	2279	94
480	2283	90
481	2288	85
482	2292	80
483	2296	75
484	2301	71
485	2306	66
486	2310	61
487	2314	56
488	2318	52
489	2322	47
490	2326	42
491	2331	37
492	2335	33
493	2339	28
494	2344	23
495	2348	18
496	2352	14
497	2356	9
